mobile_prefix,province_name,city_name,isp_code,isp_name
1300000,山东,济南,CUCC,中国联通
1300001,江苏,常州,CUCC,中国联通
1300002,安徽,合肥,CUCC,中国联通
1300003,四川,宜宾,CUCC,中国联通
1300004,四川,自贡,CUCC,中国联通
1300005,陕西,西安,CUCC,中国联通
1300006,江苏,南京,CUCC,中国联通
1300007,陕西,西安,CUCC,中国联通
1300008,湖北,武汉,CUCC,中国联通
1300009,陕西,西安,CUCC,中国联通
1300010,北京,北京,CUCC,中国联通
1300011,北京,北京,CUCC,中国联通
1300012,天津,天津,CUCC,中国联通
1300013,天津,天津,CUCC,中国联通
1300014,天津,天津,CUCC,中国联通
1300015,山东,淄博,CUCC,中国联通
1300016,山东,烟台,CUCC,中国联通
1300017,山东,济南,CUCC,中国联通
1300018,天津,天津,CUCC,中国联通
1300019,天津,天津,CUCC,中国联通
1300020,上海,上海,CUCC,中国联通
1300021,上海,上海,CUCC,中国联通
1300022,上海,上海,CUCC,中国联通
1300023,上海,上海,CUCC,中国联通
1300024,上海,上海,CUCC,中国联通
1300025,江苏,南京,CUCC,中国联通
1300026,江苏,南京,CUCC,中国联通
1300027,山东,烟台,CUCC,中国联通
1300028,江苏,南京,CUCC,中国联通
1300029,江苏,南京,CUCC,中国联通
1300030,江苏,南京,CUCC,中国联通
1300031,江苏,南京,CUCC,中国联通
1300032,江苏,南京,CUCC,中国联通
1300033,江苏,无锡,CUCC,中国联通
1300034,江苏,无锡,CUCC,中国联通
1300035,江苏,无锡,CUCC,中国联通
1300036,江苏,无锡,CUCC,中国联通
1300037,江苏,无锡,CUCC,中国联通
1300038,江苏,无锡,CUCC,中国联通
1300039,江苏,无锡,CUCC,中国联通
1300040,广东,广州,CUCC,中国联通
1300041,广东,广州,CUCC,中国联通
1300042,广东,广州,CUCC,中国联通
1300043,广东,广州,CUCC,中国联通
1300044,广东,广州,CUCC,中国联通
1300045,北京,北京,CUCC,中国联通
1300046,北京,北京,CUCC,中国联通
1300047,北京,北京,CUCC,中国联通
1300048,北京,北京,CUCC,中国联通
1300049,北京,北京,CUCC,中国联通
1300050,广东,广州,CUCC,中国联通
1300051,广东,广州,CUCC,中国联通
1300052,广东,广州,CUCC,中国联通
1300053,广东,广州,CUCC,中国联通
1300054,广东,广州,CUCC,中国联通
1300055,广东,广州,CUCC,中国联通
1300056,广东,广州,CUCC,中国联通
1300057,广东,广州,CUCC,中国联通
1300058,广东,广州,CUCC,中国联通
1300059,广西,南宁,CUCC,中国联通
1300060,广东,广州,CUCC,中国联通
1300061,湖北,荆门,CUCC,中国联通
1300062,广东,广州,CUCC,中国联通
1300063,广东,广州,CUCC,中国联通
1300064,广东,广州,CUCC,中国联通
1300065,山东,潍坊,CUCC,中国联通
1300066,广东,广州,CUCC,中国联通
1300067,浙江,温州,CUCC,中国联通
1300068,广东,广州,CUCC,中国联通
1300069,广西,南宁,CUCC,中国联通
1300070,广东,广州,CUCC,中国联通
1300071,湖北,武汉,CUCC,中国联通
1300072,广东,广州,CUCC,中国联通
1300073,广东,广州,CUCC,中国联通
1300074,广东,广州,CUCC,中国联通
1300075,河南,郑州,CUCC,中国联通
1300076,河南,郑州,CUCC,中国联通
1300077,广东,广州,CUCC,中国联通
1300078,广东,广州,CUCC,中国联通
1300079,广东,广州,CUCC,中国联通
1300080,广东,广州,CUCC,中国联通
1300081,广东,广州,CUCC,中国联通
1300082,广东,广州,CUCC,中国联通
1300083,广东,广州,CUCC,中国联通
1300084,广东,广州,CUCC,中国联通
1300085,广东,广州,CUCC,中国联通
1300086,广东,广州,CUCC,中国联通
1300087,甘肃,兰州,CUCC,中国联通
1300088,广东,广州,CUCC,中国联通
1300089,广东,广州,CUCC,中国联通
1300090,浙江,宁波,CUCC,中国联通
1300091,吉林,长春,CUCC,中国联通
1300092,辽宁,本溪,CUCC,中国联通
1300093,辽宁,营口,CUCC,中国联通
1300094,辽宁,大连,CUCC,中国联通
1300095,内蒙古,包头,CUCC,中国联通
1300096,新疆,乌鲁木齐,CUCC,中国联通
1300097,黑龙江,佳木斯,CUCC,中国联通
1300098,黑龙江,哈尔滨,CUCC,中国联通
1300099,福建,福州,CUCC,中国联通
1300100,北京,北京,CUCC,中国联通
1300101,北京,北京,CUCC,中国联通
1300102,北京,北京,CUCC,中国联通
1300103,北京,北京,CUCC,中国联通
1300104,北京,北京,CUCC,中国联通
1300105,北京,北京,CUCC,中国联通
1300106,北京,北京,CUCC,中国联通
1300107,北京,北京,CUCC,中国联通
1300108,北京,北京,CUCC,中国联通
1300109,北京,北京,CUCC,中国联通
1300110,北京,北京,CUCC,中国联通
1300111,北京,北京,CUCC,中国联通
1300112,北京,北京,CUCC,中国联通
1300113,北京,北京,CUCC,中国联通
1300114,北京,北京,CUCC,中国联通
1300115,北京,北京,CUCC,中国联通
1300116,北京,北京,CUCC,中国联通
1300117,北京,北京,CUCC,中国联通
1300118,北京,北京,CUCC,中国联通
1300119,北京,北京,CUCC,中国联通
1300120,北京,北京,CUCC,中国联通
1300121,北京,北京,CUCC,中国联通
1300122,北京,北京,CUCC,中国联通
1300123,北京,北京,CUCC,中国联通
1300124,北京,北京,CUCC,中国联通
1300125,北京,北京,CUCC,中国联通
1300126,北京,北京,CUCC,中国联通
1300127,北京,北京,CUCC,中国联通
1300128,北京,北京,CUCC,中国联通
1300129,北京,北京,CUCC,中国联通
1300130,天津,天津,CUCC,中国联通
1300131,天津,天津,CUCC,中国联通
1300132,天津,天津,CUCC,中国联通
1300133,天津,天津,CUCC,中国联通
